date,Amala
2020-06-21,28
2020-06-28,26
2020-07-05,24
2020-07-12,32
2020-07-19,41
2020-07-26,24
2020-08-02,27
2020-08-09,27
2020-08-16,22
2020-08-23,32
2020-08-30,31
2020-09-06,28
2020-09-13,27
2020-09-20,33
2020-09-27,29
2020-10-04,25
2020-10-11,17
2020-10-18,23
2020-10-25,24
2020-11-01,29
2020-11-08,33
2020-11-15,27
2020-11-22,23
2020-11-29,15
2020-12-06,23
2020-12-13,21
2020-12-20,37
2020-12-27,31
2021-01-03,20
2021-01-10,29
2021-01-17,28
2021-01-24,22
2021-01-31,35
2021-02-07,25
2021-02-14,33
2021-02-21,30
2021-02-28,22
2021-03-07,26
2021-03-14,27
2021-03-21,31
2021-03-28,24
2021-04-04,24
2021-04-11,34
2021-04-18,27
2021-04-25,37
2021-05-02,29
2021-05-09,26
2021-05-16,22
2021-05-23,39
2021-05-30,42
2021-06-06,27
2021-06-13,24
2021-06-20,34
2021-06-27,27
2021-07-04,33
2021-07-11,41
2021-07-18,42
2021-07-25,37
2021-08-01,34
2021-08-08,35
2021-08-15,35
2021-08-22,37
2021-08-29,34
2021-09-05,22
2021-09-12,44
2021-09-19,28
2021-09-26,24
2021-10-03,50
2021-10-10,46
2021-10-17,35
2021-10-24,45
2021-10-31,37
2021-11-07,37
2021-11-14,36
2021-11-21,39
2021-11-28,38
2021-12-05,30
2021-12-12,36
2021-12-19,31
2021-12-26,34
2022-01-02,39
2022-01-09,32
2022-01-16,48
2022-01-23,31
2022-01-30,36
2022-02-06,35
2022-02-13,38
2022-02-20,46
2022-02-27,42
2022-03-06,39
2022-03-13,34
2022-03-20,34
2022-03-27,29
2022-04-03,38
2022-04-10,38
2022-04-17,28
2022-04-24,32
2022-05-01,31
2022-05-08,24
2022-05-15,27
2022-05-22,26
2022-05-29,39
2022-06-05,40
2022-06-12,40
2022-06-19,43
2022-06-26,48
2022-07-03,33
2022-07-10,56
2022-07-17,37
2022-07-24,28
2022-07-31,53
2022-08-07,54
2022-08-14,61
2022-08-21,47
2022-08-28,54
2022-09-04,53
2022-09-11,50
2022-09-18,47
2022-09-25,40
2022-10-02,42
2022-10-09,32
2022-10-16,38
2022-10-23,56
2022-10-30,34
2022-11-06,42
2022-11-13,30
2022-11-20,38
2022-11-27,42
2022-12-04,33
2022-12-11,41
2022-12-18,56
2022-12-25,100
2023-01-01,60
2023-01-08,52
2023-01-15,50
2023-01-22,56
2023-01-29,46
2023-02-05,47
2023-02-12,43
2023-02-19,47
2023-02-26,47
2023-03-05,46
2023-03-12,46
2023-03-19,51
2023-03-26,48
2023-04-02,46
2023-04-09,51
2023-04-16,48
2023-04-23,61
2023-04-30,57
2023-05-07,51
2023-05-14,52
2023-05-21,48
2023-05-28,50
2023-06-04,53
2023-06-11,50
2023-06-18,62
2023-06-25,49
2023-07-02,51
2023-07-09,33
2023-07-16,47
2023-07-23,64
2023-07-30,67
2023-08-06,48
2023-08-13,82
2023-08-20,50
2023-08-27,57
2023-09-03,50
2023-09-10,50
2023-09-17,53
2023-09-24,43
2023-10-01,48
2023-10-08,56
2023-10-15,47
2023-10-22,74
2023-10-29,58
2023-11-05,91
2023-11-12,39
2023-11-19,46
2023-11-26,51
2023-12-03,59
2023-12-10,61
2023-12-17,53
2023-12-24,63
2023-12-31,79
2024-01-07,63
2024-01-14,57
2024-01-21,47
2024-01-28,50
2024-02-04,48
2024-02-11,57
2024-02-18,46
2024-02-25,56
2024-03-03,55
2024-03-10,67
2024-03-17,78
2024-03-24,71
2024-03-31,49
2024-04-07,44
2024-04-14,57
2024-04-21,53
2024-04-28,39
2024-05-05,40
2024-05-12,44
2024-05-19,48
2024-05-26,47
2024-06-02,50
2024-06-09,52
2024-06-16,55
2024-06-23,54
2024-06-30,67
2024-07-07,48
2024-07-14,46
2024-07-21,67
2024-07-28,71
2024-08-04,63
2024-08-11,48
2024-08-18,52
2024-08-25,68
2024-09-01,70
2024-09-08,56
2024-09-15,55
2024-09-22,45
2024-09-29,58
2024-10-06,45
2024-10-13,63
2024-10-20,66
2024-10-27,63
2024-11-03,64
2024-11-10,48
2024-11-17,51
2024-11-24,51
2024-12-01,51
2024-12-08,54
2024-12-15,71
2024-12-22,47
2024-12-29,59
2025-01-05,51
2025-01-12,57
2025-01-19,51
2025-01-26,69
2025-02-02,48
2025-02-09,50
2025-02-16,51
2025-02-23,51
2025-03-02,49
2025-03-09,50
2025-03-16,61
2025-03-23,58
2025-03-30,58
2025-04-06,57
2025-04-13,51
2025-04-20,57
2025-04-27,40
2025-05-04,61
2025-05-11,46
2025-05-18,53
2025-05-25,56
2025-06-01,43
2025-06-08,49
2025-06-15,49
