date,Pounded yam
2020-06-21,44
2020-06-28,28
2020-07-05,39
2020-07-12,41
2020-07-19,47
2020-07-26,31
2020-08-02,41
2020-08-09,43
2020-08-16,0
2020-08-23,47
2020-08-30,0
2020-09-06,47
2020-09-13,36
2020-09-20,36
2020-09-27,44
2020-10-04,0
2020-10-11,30
2020-10-18,35
2020-10-25,29
2020-11-01,40
2020-11-08,35
2020-11-15,49
2020-11-22,48
2020-11-29,36
2020-12-06,70
2020-12-13,54
2020-12-20,47
2020-12-27,58
2021-01-03,56
2021-01-10,95
2021-01-17,66
2021-01-24,64
2021-01-31,76
2021-02-07,60
2021-02-14,64
2021-02-21,47
2021-02-28,59
2021-03-07,40
2021-03-14,69
2021-03-21,59
2021-03-28,69
2021-04-04,46
2021-04-11,39
2021-04-18,0
2021-04-25,57
2021-05-02,39
2021-05-09,54
2021-05-16,63
2021-05-23,43
2021-05-30,53
2021-06-06,57
2021-06-13,43
2021-06-20,59
2021-06-27,34
2021-07-04,46
2021-07-11,42
2021-07-18,0
2021-07-25,0
2021-08-01,44
2021-08-08,35
2021-08-15,67
2021-08-22,50
2021-08-29,37
2021-09-05,0
2021-09-12,43
2021-09-19,50
2021-09-26,60
2021-10-03,38
2021-10-10,46
2021-10-17,0
2021-10-24,38
2021-10-31,0
2021-11-07,31
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,60
2021-12-12,60
2021-12-19,48
2021-12-26,0
2022-01-02,38
2022-01-09,68
2022-01-16,63
2022-01-23,0
2022-01-30,78
2022-02-06,69
2022-02-13,57
2022-02-20,57
2022-02-27,73
2022-03-06,57
2022-03-13,52
2022-03-20,31
2022-03-27,64
2022-04-03,89
2022-04-10,70
2022-04-17,71
2022-04-24,69
2022-05-01,63
2022-05-08,75
2022-05-15,85
2022-05-22,58
2022-05-29,0
2022-06-05,78
2022-06-12,54
2022-06-19,54
2022-06-26,65
2022-07-03,72
2022-07-10,86
2022-07-17,78
2022-07-24,43
2022-07-31,73
2022-08-07,68
2022-08-14,87
2022-08-21,57
2022-08-28,68
2022-09-04,80
2022-09-11,82
2022-09-18,87
2022-09-25,71
2022-10-02,62
2022-10-09,50
2022-10-16,84
2022-10-23,74
2022-10-30,55
2022-11-06,65
2022-11-13,64
2022-11-20,53
2022-11-27,69
2022-12-04,67
2022-12-11,67
2022-12-18,73
2022-12-25,78
2023-01-01,68
2023-01-08,62
2023-01-15,73
2023-01-22,98
2023-01-29,68
2023-02-05,82
2023-02-12,54
2023-02-19,63
2023-02-26,98
2023-03-05,51
2023-03-12,57
2023-03-19,74
2023-03-26,53
2023-04-02,54
2023-04-09,43
2023-04-16,45
2023-04-23,63
2023-04-30,59
2023-05-07,62
2023-05-14,53
2023-05-21,86
2023-05-28,72
2023-06-04,66
2023-06-11,64
2023-06-18,65
2023-06-25,33
2023-07-02,69
2023-07-09,61
2023-07-16,32
2023-07-23,73
2023-07-30,51
2023-08-06,65
2023-08-13,41
2023-08-20,58
2023-08-27,84
2023-09-03,41
2023-09-10,92
2023-09-17,70
2023-09-24,65
2023-10-01,65
2023-10-08,58
2023-10-15,65
2023-10-22,52
2023-10-29,47
2023-11-05,70
2023-11-12,57
2023-11-19,62
2023-11-26,73
2023-12-03,52
2023-12-10,58
2023-12-17,41
2023-12-24,82
2023-12-31,64
2024-01-07,65
2024-01-14,31
2024-01-21,47
2024-01-28,61
2024-02-04,90
2024-02-11,70
2024-02-18,52
2024-02-25,69
2024-03-03,56
2024-03-10,64
2024-03-17,83
2024-03-24,68
2024-03-31,87
2024-04-07,58
2024-04-14,48
2024-04-21,93
2024-04-28,70
2024-05-05,57
2024-05-12,56
2024-05-19,56
2024-05-26,60
2024-06-02,36
2024-06-09,91
2024-06-16,42
2024-06-23,100
2024-06-30,93
2024-07-07,40
2024-07-14,59
2024-07-21,68
2024-07-28,54
2024-08-04,65
2024-08-11,44
2024-08-18,62
2024-08-25,78
2024-09-01,77
2024-09-08,80
2024-09-15,68
2024-09-22,98
2024-09-29,79
2024-10-06,60
2024-10-13,76
2024-10-20,81
2024-10-27,63
2024-11-03,45
2024-11-10,78
2024-11-17,66
2024-11-24,87
2024-12-01,75
2024-12-08,88
2024-12-15,95
2024-12-22,55
2024-12-29,68
2025-01-05,76
2025-01-12,74
2025-01-19,51
2025-01-26,72
2025-02-02,74
2025-02-09,82
2025-02-16,61
2025-02-23,60
2025-03-02,82
2025-03-09,65
2025-03-16,68
2025-03-23,87
2025-03-30,67
2025-04-06,74
2025-04-13,85
2025-04-20,60
2025-04-27,79
2025-05-04,49
2025-05-11,64
2025-05-18,52
2025-05-25,82
2025-06-01,43
2025-06-08,68
2025-06-15,57
